ID,Link,Address,Property Type,Sale Type,Sale Date,Price,Page Number,Is Auction
adb73f80-4a10-4b55-b83a-d301f83a300d,/adresse/stengaardsvaenge-63-2800-kongens-lyngby-01590814__63_______,,Rækkehus,Fri handel,08-04-2021,4.395.000,2,False
adb73f80-4a10-4b55-b83a-d301f83a300d,/adresse/stengaardsvaenge-63-2800-kongens-lyngby-01590814__63_______,,Rækkehus,Fri handel,04-09-2018,3.800.000,2,False
01a84904-5641-4de3-aba3-fe5581168b1a,/adresse/rytterdammen-25-2605-broendby-01530573__25_______,,Rækkehus,Rytterdammen 252605 Brøndby,Familie handel,19-02-2025,2,False
01a84904-5641-4de3-aba3-fe5581168b1a,/adresse/rytterdammen-25-2605-broendby-01530573__25_______,,Rækkehus,Fri handel,07-03-2016,2.550.000,2,False
01a84904-5641-4de3-aba3-fe5581168b1a,/adresse/rytterdammen-25-2605-broendby-01530573__25_______,,Rækkehus,Fri handel,30-10-1993,715.000,2,False
7488e2d3-d733-4d3f-8db8-dedc29554903,/adresse/hyldemorsvej-17-2730-herlev-01633397__17_______,,Rækkehus,Hyldemorsvej 172730 Herlev,Fri handel,16-02-2025,2,False
7488e2d3-d733-4d3f-8db8-dedc29554903,/adresse/hyldemorsvej-17-2730-herlev-01633397__17_______,,Rækkehus,Fri handel,09-11-2016,2.300.000,2,False
7488e2d3-d733-4d3f-8db8-dedc29554903,/adresse/hyldemorsvej-17-2730-herlev-01633397__17_______,,Rækkehus,Fri handel,13-12-2004,1.900.000,2,False
a6ec60d6-3859-4dc1-a380-75fe32f1acaa,/adresse/skyttehusene-31-2620-albertslund-01650445__31_______,,Rækkehus,Skyttehusene 312620 Albertslund,Fri handel,14-02-2025,2,False
a6ec60d6-3859-4dc1-a380-75fe32f1acaa,/adresse/skyttehusene-31-2620-albertslund-01650445__31_______,,Rækkehus,Fri handel,09-05-2004,1.535.000,2,False
