Property ID,Address,Postal_Code,Property_Type,Sale Type,Sale Date,Price,Sale Index,Total Sales
fuglegaardsvaenget-90-1-th-2820-gentofte-01570262__90__1__th,"Fuglegårdsvænget 90, 1. th.",2820,Ejerlejlighed,Tvangsauktion,19-09-2018,1257500.0,1,3
fuglegaardsvaenget-90-1-th-2820-gentofte-01570262__90__1__th,"Fuglegårdsvænget 90, 1. th.",2820,Ejerlejlighed,Fri handel,28-07-2005,1191697.0,2,3
fuglegaardsvaenget-90-1-th-2820-gentofte-01570262__90__1__th,"Fuglegårdsvænget 90, 1. th.",2820,Ejerlejlighed,Fri handel,29-06-1999,575000.0,3,3
lilliendalsvej-18-2600-glostrup-01610298__18_______,Lilliendalsvej 18,2600,Rækkehus,Tvangsauktion,29-08-2018,2275000.0,1,1
saven-c-4-0-2-2630-taastrup-01696694___4_st___2,"Saven C 4, st. 2.",2630,Ejerlejlighed,Tvangsauktion,31-07-2018,769000.0,1,3
saven-c-4-0-2-2630-taastrup-01696694___4_st___2,"Saven C 4, st. 2.",2630,Ejerlejlighed,Fri handel,16-04-2007,685000.0,2,3
saven-c-4-0-2-2630-taastrup-01696694___4_st___2,"Saven C 4, st. 2.",2630,Ejerlejlighed,Fri handel,04-07-2004,641551.0,3,3
hovedvejen-60a-1-tv-2600-glostrup-01610213_60a__1__tv,"Hovedvejen 60A, 1. tv.",2600,Ejerlejlighed,Tvangsauktion,18-07-2018,1395000.0,1,3
hovedvejen-60a-1-tv-2600-glostrup-01610213_60a__1__tv,"Hovedvejen 60A, 1. tv.",2600,Ejerlejlighed,Fri handel,03-07-2013,850000.0,2,3
hovedvejen-60a-1-tv-2600-glostrup-01610213_60a__1__tv,"Hovedvejen 60A, 1. tv.",2600,Ejerlejlighed,Fri handel,05-09-2000,529524.0,3,3
hoejsgaards-alle-37-2900-hellerup-01570386__37_______,Højsgårds Alle 37,2900,Villa,Tvangsauktion,13-06-2018,4183589.0,1,1
agerlunden-34-2660-broendby-strand-01530002__34_______,Agerlunden 34,2660,Villa,Tvangsauktion,29-05-2018,3995000.0,1,2
agerlunden-34-2660-broendby-strand-01530002__34_______,Agerlunden 34,2660,Villa,Fri handel,19-08-2002,595000.0,2,2
